Platform,Video URL,Comment,Engagement,Matched Keywords
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"The left and their issues have never really changed. Only the context in which they operate has changed. Not just Jimmel Kimmel and the rest of hollywood but people like michael moore, noam chomsky, the punk rock movement, naomi klein and her No Logo movement, the democrat party, blm, the lgtbq community, your average college professor and tik toker, etc. When they needed their voices heard, they pushed for free speech and expression to allow their emotional appeals to take root and the masses (mainly the youth) to sympathize with their causes. When that happened, and their side gained control of the establishment narrative and the fruits of their labors showed themselves to be politically, socially, culturally, economically and spiritually poisonous, they needed to silence people to resist a push-back, so then they became in favor of censorship, the thing they seemed (but ONLY seemed) to be against in the past.


And now that that is being pushed back against them via their celebration of the murder of a man expressing HIS own free speech, they are suffering the effects of consequence culture and are now screaming bloody murder about THEIR own free speech once again, full circle. 

The passage of time has revealed that deep down, most on the left have just as much authoritarian tendencies as those on the right, even as they try to smugly act like they don't. They view the government almost as a deific higher power (as long as its biasedly slanted in their favor, that is). A trustable and nurturing entity that must be supported and expanded in order to, ultimately, redistribute wealth (as they see fit, of course). These people can not, and do not, truly care about expression or speech, only right-think and eliminating what they determine to be wrong think, as they clearly demonstrated with what happened to Charlie Kirk. In the past, that was by attacking religion. Now, it's by attacking logic and reason and facts and history.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"if kash is saying there is no evidence for epstein, but also admitted to not fully reading the report??",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Ah yes, solid logic : private businesses can deny business if you aren't wearing a shirt. They can deny business if you are LGBTQ. They CANNOT deny you business though if you want Charlie Kirk posters 😒 I've given up on them seeing the hypocrisy at this point.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Huel with just one scoop? Are you sure? Tastes like s**t with just one

I need 2 scoops, and might avoid banana; the taste is too ""chemical."" I recommend salted caramel.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Phil you caused this. Apologize for radicalizing the killer and end this grift.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,5:18 I would like to remind everyone here that the Biden administration and there supporters also continually called everyone on the right dangerous nazis who are a threat to democracy just for having different political opinions.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Every isrealee resposiable and involved in this genocide deserves the same fate they are enforcing on every man women and child in gaza,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"The US and Isreal keep pretending to be in a war with Hamas while constantly killing and and maiming innocent palestinias, no one in the world beside them belives them anymore they are just indescrimintly commiting genocide on the palestenian people",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"I really have no idea who outside of the US wants anything to do with the US, yall made your bed now  fucking lie in it",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"I'm a bit conspiranoic, I still pay attention at the things being officially presented, but can't stop thinking about that part of The Boys where Homelander sets up the murder of 3 of his loyal fans and frames it on Starlight.",0,N/A
